# date:Sat Dec 04 10:45:06 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:50.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:1.0
# offspringRate [%]:2.0
Spruce (count),Spruce volume (cm^3),Fir (count),Fir volume (cm^3),Beech (count),Beech volume (cm^3)
293,2.566296237618084E8,23,3.929108594071468E7,624,3.4169636639538426E9
292,2.5369687872748098E8,22,3.6329936568320245E7,635,3.4413310959161663E9
290,2.556869084912484E8,22,3.66317251871676E7,629,3.4626986615870323E9
294,2.5788994483707944E8,20,3.679263016970177E7,637,3.4587857252286468E9
294,2.5982736452316713E8,19,3.394341262802728E7,645,3.4476441435660057E9
298,2.6015811213485155E8,19,3.1480746942677304E7,652,3.4213911688449907E9
294,2.57664768232238E8,19,3.174277255344463E7,646,3.4160096715080585E9
297,2.564905626155791E8,18,2.999929585135002E7,647,3.418786725102303E9
297,2.586161493339066E8,17,2.6781432931523193E7,638,3.3970217467543125E9
297,2.5572206534161893E8,16,2.6793140553183645E7,644,3.407006755707221E9
297,2.5539082937482712E8,16,2.7019095650023643E7,652,3.4113162483064055E9
301,2.5503653594873005E8,16,2.724783219010789E7,650,3.3517901814828043E9
304,2.5499294574123612E8,16,2.747445435724599E7,653,3.3062472421982217E9
312,2.517565343287634E8,14,2.09627344395375E7,655,3.2395576173913436E9
315,2.489607110796738E8,13,1.7921547389253315E7,658,3.216135429386045E9
315,2.4668736938129324E8,13,1.8138502039823506E7,664,3.2023165064541693E9
315,2.4643660767592186E8,13,1.8360743721753877E7,673,3.200713802158861E9
323,2.487510850745235E8,14,1.8595562482415516E7,675,3.1387162339631257E9
320,2.4896951283108053E8,14,1.8862766734491974E7,662,3.135385844787383E9
317,2.4985111938027546E8,13,1.5773474707579255E7,671,3.1109191161987944E9
320,2.5213745413638946E8,11,1.5478461880705914E7,677,3.1022700244848137E9
319,2.5336146932118213E8,10,1.3488753066840569E7,686,3.119614418240926E9
324,2.5275201491178218E8,10,1.3689922899837952E7,691,3.1065727091832128E9
328,2.530726755160673E8,9,1.1163523876729906E7,703,3.1310187499437947E9
333,2.509416884583164E8,11,1.1362818087937512E7,702,3.105497017745979E9
