Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
2887,1.5649002731583157E9,718,6.026979716907537E8,6471,2.0393444997322777E10
2887,1.5679167912782314E9,718,6.037329311473193E8,6471,2.0474202591884064E10
2887,1.5709159637908037E9,716,6.009717212468992E8,6470,2.0553244349473934E10
2890,1.5709789442042167E9,716,6.009813621893766E8,6474,2.0554086285605515E10
2890,1.5739536681478744E9,716,6.019380913685349E8,6473,2.061353527250928E10
2890,1.573983267439697E9,716,6.019475690759665E8,6473,2.0614333336755253E10
2890,1.5769418859585788E9,716,6.028878006819894E8,6472,2.0682083643662926E10
2890,1.5769641782787757E9,716,6.028947330892172E8,6472,2.0682588697692394E10
2890,1.5799093410351672E9,716,6.038195778528157E8,6472,2.0762254026873604E10
2890,1.579938650599265E9,716,6.038287086048836E8,6472,2.0763047868812096E10
2890,1.5828656825767927E9,716,6.04736606163912E8,6472,2.0842434946829784E10
2890,1.5828948188996818E9,716,6.047455673671242E8,6472,2.084322580626214E10
2890,1.5858063477579505E9,716,6.056363360731872E8,6472,2.0922299660740993E10
2890,1.5858353247322645E9,715,6.020686377158855E8,6472,2.0923087460702095E10
2890,1.5858589115664127E9,715,6.020756798815774E8,6472,2.0923625886592896E10
2891,1.5887688417657204E9,715,6.029481435841469E8,6478,2.1002437519640903E10
2891,1.5916608330899231E9,715,6.038055966106539E8,6478,2.108095872492204E10
2891,1.593384648137132E9,714,6.007632071124641E8,6476,2.1101033090936867E10
2891,1.5933971288151584E9,714,6.007667920233608E8,6476,2.1101318773506287E10
2891,1.5953558435423694E9,714,6.013262956038903E8,6476,2.114614177862189E10
2891,1.5982060252131336E9,714,6.021431184993191E8,6476,2.122385365132234E10
2891,1.6010414882787814E9,714,6.029434953298706E8,6476,2.1301200359659294E10
2891,1.60385606509486E9,714,6.037265961767803E8,6476,2.1373180637684666E10
2891,1.6038839369974725E9,714,6.037342970992973E8,6476,2.1373945629760788E10
2891,1.6040316512751749E9,713,6.002186202393662E8,6476,2.1377355598841076E10
2889,1.6046073698956378E9,713,6.009817410154718E8,6475,2.1439424638050804E10
2889,1.6046341661440048E9,712,5.976056184530365E8,6475,2.1440047329990635E10
2888,1.6068164530195496E9,712,5.983492049554181E8,6474,2.149596045601607E10
2888,1.6068419632477558E9,712,5.983559797444609E8,6474,2.149655092633222E10
2888,1.6077449260171602E9,712,5.985981469252465E8,6474,2.152149836940941E10
2888,1.6077721085180736E9,712,5.986054140398626E8,6474,2.152224937359624E10
